PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
11,Set 3,CORE,DES,Deprecated Security & Cryptography,(DES|DESede|ARCFOUR)(?=\s*\)),High,Security,"Use AES or modern algorithms: Cipher cipher = Cipher.getInstance(""AES"");",Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
12,Set 3,CORE,RC4,Deprecated Security & Cryptography,(RC2|RC4)(?=\s*\)),High,Security,Use AES or modern algorithms,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
13,Set 3,CORE,MD5,Weak hash algorithms,MessageDigest.*MD5,High,Security,"Replace with SHA-256: MessageDigest digest = MessageDigest.getInstance(""SHA-256"");",Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
14,Set 3,CORE,TLS,Old SSL/TLS versions,(SSLv2|SSLv3|TLSv1|TLSv1\.1),High,Security,Use TLSv1.3 or higher,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
15,Set 4,CORE,Finalize,Finalize methods (DEPRECATED in JDK 9 removal planned),protected\s+void\s+finalize\s*\(\s*\),Medium,Deprecated Features,Remove finalize; use AutoCloseable and try-with-resources,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
16,Set 4,CORE,Finalize,Object.finalize() calls,\.finalize\s*\(\s*\),Medium,Deprecated Features,Remove finalize calls; rely on proper resource management,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
17,Set 4,CORE,Finalize,Manual close() without try-with-resources,\.close\s*\(\s*\);(?!.*\s+catch),Medium,Code Quality,"Use try-with-resources: try (BufferedReader br = new BufferedReader(new FileReader(""file.txt""))) { /* ... */ }",Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
18,Set 5,CORE,Old Date,Old Date class usage,new\s+Date\s*\(,Medium,Date/Time API,Use java.time.LocalDate: LocalDate date = LocalDate.now();,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
19,Set 5,CORE,SimpleDateFormat,SimpleDateFormat (not thread-safe),new\s+SimpleDateFormat\s*\(,Medium,Date/Time API,"Use DateTimeFormatter: DateTimeFormatter formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd"");",Manual-API-Change,Replace with DateTimeFormatter and thread-safe patterns.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
20,Set 5,CORE,Calendar,Calendar usage,Calendar\.getInstance\s*\(,Medium,Date/Time API,Use LocalDateTime or ZonedDateTime,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
21,Set 5,CORE,Timestamp,java.sql.Date/Time/Timestamp,java\.sql\.(Date|Time|Timestamp),Medium,Date/Time API,Use java.time API,Semi-Auto,Use java.time and add generics; basic refactor then review.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaTime
22,Set 6,CORE,Raw List,Raw types (pre-generics),\b(List|Set|Map|Collection|ArrayList|HashMap|HashSet)\b\s+[A-Za-z_]\w*\s*=\s*(?!new\s+\1\s*<),Low,Generics,Use generics: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,Yes,Yes,Safe,Yes,No,Dual-Safe-Language
23,Set 6,CORE,Underscore,Underscore as identifier (REMOVED in JDK 9+),\b_\b(?=\s*(=|;|\))),Low,Language Changes,Rename variable,Auto-Replace,Rename `_` identifier to a valid name.,Low,0.1,Yes,Yes,Safe,Yes,Yes,Dual-Safe-Language
24,Set 6,CORE,DiamondOperator,Diamond operator missing,new\s+(ArrayList|HashMap|HashSet|LinkedList)<[^>]+>\s*\(\s*\)(?!\s*;),Low,Generics,Add diamond operator: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,Yes,Yes,Safe,Yes,No,Dual-Safe-Language
25,Set 7,CORE,Thread.stop,Thread.stop/suspend/resume (REMOVED),Thread\.(stop|suspend|resume)\s*\(,High,Concurrency,Use ExecutorService or CompletableFuture,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
26,Set 7,CORE,SecurityManager,Security Manager (DEPRECATED JDK 17  removed JDK 21),System\.(get|set)SecurityManager|new\s+SecurityManager,Critical,Security,Remove SecurityManager; use modern security frameworks,Manual-API-Change,Remove SecurityManager usages; rely on modern security boundaries.,High,3.0,Yes,No,Requires Migration,No,No,Dual-RemovedFeature
27,Set 7,CORE,AppletAPI,Applet API (REMOVED in JDK 17+),extends\s+Applet|java\.applet\.,High,Removed APIs,Remove Applet; migrate to web technologies,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or web UI.,High,4.0,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
28,Set 7,CORE,Observable,Observable/Observer (DEPRECATED JDK 9),java\.util\.(Observable|Observer),Medium,Deprecated Features,Use java.beans.PropertyChangeSupport or reactive streams,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
29,Set 7,CORE,Runtime,Runtime.runFinalizersOnExit (REMOVED),Runtime\.runFinalizersOnExit,High,Removed APIs,Remove; use proper resource management,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
30,Set 8,CORE,ReflectionPrivate,Reflection on private fields (will fail with modules),\.setAccessible\s*\(\s*true\s*\),High,Reflection,Use MethodHandles,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
31,Set 8,CORE,ClassNewInstances,Class.newInstance() (DEPRECATED),\.class\.newInstance\s*\(,Medium,Reflection,Replace Class.newInstance() with clazz.getDeclaredConstructor().newInstance() (Java 8+).,Auto-Refactor,Mechanical refactor; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-NewInstance
32,Set 8,CORE,PackageLevel,Package-level reflection,Package\.getPackage,Medium,Reflection,Avoid; use module-aware APIs,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
51,Set 9,JSP,Legacy JSTL URIs,Legacy JSTL URIs (java.sun.com) fail on Tomcat 10+/Jakarta; use Jakarta Standard Taglib 3.x.,"<%@\s*taglib[^>]*uri=\""http://java\.sun\.com/jsp/jstl/[a-z]+\""",High,Jakarta Namespace,Upgrade to Jakarta Standard Taglib; switch URIs to Jakarta equivalents.,Auto-Replace,Safe string/URI replacement in JSP taglib directives.,Low,0.1,Yes,Yes,Safe,Yes,Yes,Dual-Safe-InternalAPI
52,Set 4,JSP,Scriptlets used,Scriptlets (<% %>) increase risk during migration; prefer taglibs/EL.,<%[=!]?[\s\S]*?%>,Low,Code Quality,Refactor scriptlets to JSTL/EL or migrate to Thymeleaf.,Manual-API-Change,Refactor scriptlets to taglibs/EL or migrate views (e.g. Thymeleaf).,Medium,1.5,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
53,Set 9,JSP,JSP page import javax.*,JSP directive imports javax.* which must move to jakarta.*,"<%@\s*page[^>\n]*import\s*=\s*\""[^\""]*javax\.",High,Jakarta Namespace,Change imports from javax.* to jakarta.*; ensure container/libs are Jakarta versions.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
54,Set 9,JSP,JSP uses javax.servlet.jsp.*,JSP API packages moved to jakarta.servlet.jsp.* in Jakarta.,javax\.servlet\.jsp(\.|;),High,Jakarta Namespace,Update to jakarta.servlet.jsp.* and Jakarta taglibs.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
55,Set 9,JSP,JSP references javax.servlet.* types,JSP code or declarations using javax.servlet.* must move to jakarta.servlet.*,javax\.servlet(\.|;),High,Jakarta Namespace,Update to jakarta.servlet.*; run on Tomcat 10+/Servlet 6.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,High,1.0,Yes,Yes,Safe,Yes,No,Dual-Semi
56,Set 9,JSP,JSP javax.validation usage,Validation API moved to jakarta.validation*,javax\.validation,High,Jakarta Namespace,Switch to jakarta.validation and compatible taglibs.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
57,Set 9,JSP,JSP javax.el usage,Expression Language API moved to jakarta.el*,javax\.el(\.|;),Medium,Jakarta Namespace,Use jakarta.el.* and compatible EL implementation.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
58,Set 2,JSP,JSP internal/sun.* usage,sun.* usage inside JSP should be removed,\bsun\.,High,Internal APIs,Use supported JDK APIs (e.g. java.util.Base64).,Auto-Refactor,Replace internal classes with supported JDK APIs.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-InternalAPI
101,Set 9,SPRINGBOOT,Servlet API javax → jakarta,Move javax.servlet to jakarta.servlet (Boot 3 / Spring 6).,\bjavax\.servlet(\.|;),Critical,Jakarta Namespace,Replace javax.servlet.* with jakarta.servlet.*; upgrade to Boot 3.x / Servlet 6.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,High,1.0,Yes,Yes,Safe,Yes,No,Dual-Semi
102,Set 9,SPRINGBOOT,Servlet HTTP javax → jakarta,Move javax.servlet.http to jakarta.servlet.http.,\bjavax\.servlet\.http(\.|;),Critical,Jakarta Namespace,Change imports to jakarta.servlet.http.*; recompile on Boot 3.x.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,High,1.0,Yes,Yes,Safe,Yes,No,Dual-Semi
103,Set 9,SPRINGBOOT,JPA javax.persistence → jakarta.persistence,Jakarta Persistence migration.,\bjavax\.persistence(\.|;),Critical,Jakarta Namespace,Update to jakarta.persistence.* and Hibernate 6+.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,High,1.0,Yes,Yes,Safe,Yes,No,Dual-Semi
104,Set 9,SPRINGBOOT,Validation javax.validation → jakarta.validation,Jakarta Validation migration.,\bjavax\.validation(\.|;),Critical,Jakarta Namespace,Switch to jakarta.validation.* with Hibernate Validator 8+.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,High,1.0,Yes,Yes,Safe,Yes,No,Dual-Semi
105,Set 9,SPRINGBOOT,Common Annotations javax.annotation → jakarta.annotation,@PostConstruct/@PreDestroy/@Resource to jakarta.annotation.,\bjavax\.annotation\.(PostConstruct|PreDestroy|Resource)\b,High,Jakarta Namespace,Update to jakarta.annotation.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
106,Set 9,SPRINGBOOT,JAX-RS javax.ws.rs → jakarta.ws.rs,REST API namespace migration.,\bjavax\.ws\.rs(\.|;),High,Jakarta Namespace,Use jakarta.ws.rs.*; upgrade client/server libs.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
107,Set 9,SPRINGBOOT,Mail javax.mail → jakarta.mail,Jakarta Mail migration.,\bjavax\.mail(\.|;),High,Jakarta Namespace,Change imports to jakarta.mail.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
108,Set 9,SPRINGBOOT,WebSocket javax.websocket → jakarta.websocket,Jakarta WebSocket migration.,\bjavax\.websocket(\.|;),Medium,Jakarta Namespace,Use jakarta.websocket.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
109,Set 9,SPRINGBOOT,JSON-P javax.json → jakarta.json,Jakarta JSON-P migration.,\bjavax\.json(\.|;),Medium,Jakarta Namespace,Use jakarta.json.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
110,Set 10,SPRINGBOOT,WebSecurityConfigurerAdapter removed,Spring Security 6 removes WebSecurityConfigurerAdapter.,extends\s+WebSecurityConfigurerAdapter\b,High,Spring Security,Use SecurityFilterChain beans and HttpSecurity DSL.,Manual-API-Change,Replace WebSecurityConfigurerAdapter with SecurityFilterChain beans.,High,3.0,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
111,Set 10,SPRINGBOOT,AntPathMatcher caveat,Spring 6 prefers PathPattern matching.,\bAntPathMatcher\b,Medium,Spring MVC,Prefer PathPatternParser or enable legacy matching.,Manual-API-Change,Switch to PathPattern or enable legacy AntPathMatcher strategy.,Low,0.75,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
112,Set 7,SPRINGBOOT,SecurityManager removed,SecurityManager usage incompatible with JDK 21.,System\.(get|set)SecurityManager|new\s+SecurityManager\b,Critical,Removed in JDK 21,Remove SecurityManager usage.,Manual-API-Change,Remove SecurityManager usages; rely on modern security boundaries.,High,3.0,Yes,No,Requires Migration,No,No,Dual-RemovedFeature
113,Set 1,SPRINGBOOT,Nashorn removed,Nashorn engine removed after JDK 15.,jdk\.nashorn|NashornScriptEngineFactory,High,Removed in JDK,Migrate to GraalVM JavaScript.,Manual-API-Change,Move to GraalJS or other JS engine; change engine wiring.,High,3.0,Yes,No,Requires Migration,No,No,Dual-RemovedFeature
114,Set 8,SPRINGBOOT,setAccessible(true),Strong encapsulation breaks deep reflection,\.setAccessible\s*\(\s*true\s*\),High,Modules/Encapsulation,Use public APIs / MethodHandles / --add-opens (last resort).,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
115,Set 11,SPRINGBOOT,Log4j 1.x usage,Log4j 1.x is EOL / incompatible.,\borg\.apache\.log4j\.,High,Logging,Use SLF4J + Logback or Log4j2.,Manual-Remove/Replace,Migrate Log4j 1.x to SLF4J + Logback or Log4j2.,Medium,2.0,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
116,Set 3,SPRINGBOOT,Old TLS/SSL constants,SSLv3/TLSv1.0/1.1 insecure / disabled.,\b(SSLv2|SSLv3|TLSv1(\.0)?|TLSv1\.1)\b,High,Security,Use TLSv1.2+ (prefer TLSv1.3).,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
117,Set 3,SPRINGBOOT,Weak hashes,MD5/SHA-1 usage is weak.,"MessageDigest\s*\.\s*getInstance\s*\(\s*\""(MD5|SHA-1)\""\s*\)",High,Security,Use SHA-256 or better.,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
120,Set 1,SPRINGBOOT,JAXB javax.xml.bind,JAXB removed from JDK 11+.,\bjavax\.xml\.bind\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
121,Set 1,SPRINGBOOT,JAX-WS javax.xml.ws,JAX-WS removed from JDK 11+.,\bjavax\.xml\.ws\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.ws/javax.jws.* and add a javax.* JAX-WS implementation (Metro 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAX-WS to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,High,3.0,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
122,Set 9,SPRINGBOOT,EL javax.el → jakarta.el,EL API moved to jakarta.el*.,\bjavax\.el(\.|;),Medium,Jakarta Namespace,Use jakarta.el.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
127,Set 9,SPRINGBOOT,Servlet types javax.*,Any javax servlet types need jakarta equivalents.,\bjavax\.servlet\.(Filter|FilterConfig|FilterChain|ServletContext|Servlet|ServletRequest|ServletResponse)\b,Critical,Jakarta Namespace,Use jakarta.servlet.* types.,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,High,1.0,Yes,Yes,Safe,Yes,No,Dual-Semi
130,Set 2,SPRINGBOOT,sun.misc BASE64,Replace with java.util.Base64.,\bsun\.misc\.(BASE64Encoder|BASE64Decoder)\b,High,Internal APIs,Use java.util.Base64.,Auto-Refactor,Mechanical code refactor to modern API (update imports/calls).,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-InternalAPI
131,Set 1,SPRINGBOOT,CORBA packages,CORBA removed.,\b(javax\.rmi\.CORBA|org\.omg\.CORBA)\b,Medium,Removed APIs,Remove CORBA.,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or RMI.,High,4.0,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
133,Set 9,SPRINGBOOT,JCA javax.resource → jakarta.resource,Connector API rename.,\bjavax\.resource(\.|;),Low,Jakarta Namespace,Use jakarta.resource.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
134,Set 1,SPRINGBOOT,JAXB annotations in models,Move javax.xml.bind.annotation.* to Jakarta.,\bjavax\.xml\.bind\.annotation\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
136,Set 9,SPRINGBOOT,CDI javax.enterprise → jakarta.enterprise,CDI package rename.,\bjavax\.enterprise(\.|;),Low,Jakarta Namespace,Use jakarta.enterprise.*,Semi-Auto,Rename javax.* to jakarta.* (imports/refs); add Jakarta deps; fix follow-up compile issues.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
